# phrase | translations (comma-separated) | topics (comma-separated)
stimmt so | keep the change,сдачи не надо | A1
Achte auf | Pay attention to | A1
Es sieht schön aus | Красиво выглядит | A1
noch einmal | once again | A1
wohin willst du? | where do you want to go? | A1
warm an | согреться,warm on | A1
sich freuen auf | to look forward to | A1
ich freue mich auf | I'm looking forward to | A1
du freust dich auf | you're looking forward to | A1
warten auf | to wait for | A1
ich habe Lust auf | I want | A1
sprechen über | to talk about | A1
sich kümmern um | to take care of | A1
arbeiten an | to work on | A1
sich entschuldigen für | to apologize for | A1
zufrieden sein mit | to be satisfied with | A1
das schmeckt nach Pappe | this tastes like (nach) cardboard | A1
anrufen bei | to call | A1
sich erholen von | to recover from | A1
sich freuen über | to be happy about | A1
